s,"tamp,datetime,","humidity,t",emperature
"""","1497825541"",""",18/06/2017,"22:39:1"",""64.4"",""18.3"""
"""","1497825542"",""",18/06/2017,"22:39:2"",""64.4"",""18.3"""
"""","1497825543"",""",18/06/2017,"22:39:3"",""64.3"",""18.3"""
"""","1497825544"",""",18/06/2017,"22:39:4"",""64.3"",""18.3"""
"""","1497825545"",""",18/06/2017,"22:39:5"",""64.3"",""18.3"""
"""","1497825546"",""",18/06/2017,"22:39:6"",""64.2"",""18.3"""
"""","1497825547"",""",18/06/2017,"22:39:7"",""64.2"",""18.3"""
"""","1497825548"",""",18/06/2017,"22:39:8"",""64.2"",""18.3"""
"""","1497825549"",""",18/06/2017,"22:39:9"",""64.2"",""18.3"""
"""","1497825550"",""",18/06/2017,"22:39:10"",""64.2"",""18.3"""
"""","1497825551"",""",18/06/2017,"22:39:11"",""64.2"",""18.3"""
"""","1497825552"",""",18/06/2017,"22:39:12"",""64.2"",""18.3"""
"""","1497825553"",""",18/06/2017,"22:39:13"",""64.2"",""18.3"""
"""","1497825554"",""",18/06/2017,"22:39:14"",""64.1"",""18.3"""
"""","1497825555"",""",18/06/2017,"22:39:15"",""64.1"",""18.3"""
"""","1497825556"",""",18/06/2017,"22:39:16"",""64.1"",""18.3"""
